Title,Subtitle,Location,Time
Research Scientists (m/f/d) in the field of structural biology,University of Lübeck,"Lübeck, Germany",1 week ago
1 PhD Student (m/f/d) – Cellular and genomic alterations induced by…,Ulm University,"Ulm, Germany",6 days ago
Postdoctoral positions in the research group Synaptic Transmission in…,Max Planck Institute for Metabolism Research,"Cologne, Germany",2 months ago
Data Steward for Metadata in Life Sciences,German Cancer Research Center in the Helmholtz Association (DKFZ),"Heidelberg, Germany",3 weeks ago
"W3 - Professorship for ""Biological Data Science"" (f/m/d)…",University of Göttingen,"Göttingen, Germany",6 days ago
"PostDoc position (m/f/d) in ""The politics of diversity knowledge to…",Alfred Wegener Institute - Helmholtz Centre for Polar and Marine Research (AWI),"Oldenburg, Germany",2 months ago
Postdoc multidimensional integration of high throughput sequencing…,University Medical Center Freiburg,"Freiburg, Germany",3 weeks ago
DESY-Fellowships Photon Science,German Electron Synchrotron (DESY),"Hamburg, Germany",6 months ago
Scientific assistant to the head of division,German Electron Synchrotron (DESY),"Hamburg, Germany",4 months ago
Postdoctoral Fellow - Computational Analysis of Human Microbiome Data,European Molecular Biology Laboratory (EMBL),"Heidelberg, Germany",5 days ago
Doctoral Researcher (f/m/d) / Recoding Mechanisms in Infections,Helmholtz Centre for Infection Research (HZI),"Würzburg, Germany",1 week ago
PhD candidate in molecular mechanisms of 3D genome rewiring (f/m/x),Helmholtz Munich,"Oldenburg, Germany",2 weeks ago
PhD Position in Human Motor Control and Biomechanics part time 70%,Karlsruhe Institute of Technology (KIT),"Karlsruhe, Germany",1 month ago
Postdoctoral Positions in the Research Group Synaptic Transmission in…,Max Planck Institute for Metabolism Research,"Köln, Germany",5 months ago
Head of MS and NMR Core facility (f/div/m),Leibniz Institute for Natural Product Research and Infection Biology - Hans-Knöll-Institute (HKI),"Jena, Germany",6 days ago
Scientist P21.2 / PETRA III,German Electron Synchrotron (DESY),"Hamburg, Germany",2 months ago
"PostDoc for ""Molecular identification and quantification of bivalve…",Alfred Wegener Institute - Helmholtz Centre for Polar and Marine Research (AWI),"Sylt, Germany",2 weeks ago
Research Assistant (f/m/d) Neurodegeneration Assays,Evotec SE,"Hamburg, Germany",4 months ago
PhD candidate for protein engineering of imaging tools (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",1 month ago
Researcher position: Integrated Environmental Impact Assessment…,Leibniz Potsdam Institute for Climate Impact Research (PIK),"Potsdam, Germany",2 days ago
Bioinformatician (f/m/d),Berlin Institute of Health (BIH),"Berlin, Germany",1 month ago
Five Master Fellowships,Cologne Graduate School of Ageing Research (CGA),"Cologne, Germany",3 months ago
Scientific Coordinator,Jülich Research Centre (FZJ),"Jülich, Germany",3 months ago
wiss. Mitarbeiter/in (m/w/d),Technische Universität Dresden (TU Dresden),"01069 Dresden, Germany",6 days ago
Research Associate / Postdoc (m/f/x),Technische Universität Dresden (TU Dresden),"01069 Dresden, Germany",4 days ago
PhD candidate for protein engineering of imaging tools (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",1 month ago
Computational Biologists (m/f/d),Evotec SE,"Göttingen, Germany",4 months ago
Research Scientist (f/m/d) - Bioinformatics,Evotec SE,"Munich, Germany",11 months ago
Scientist P21.2 / PETRA III,German Electron Synchrotron (DESY),"Hamburg, Germany",2 months ago
Research Scientists (m/f/d) in the field of structural biology,University of Lübeck,"Lübeck, Germany",1 week ago
Postdoctoral Positions in the Research Group Synaptic Transmission in…,Max Planck Institute for Metabolism Research,"Köln, Germany",5 months ago
PhD candidate for protein engineering of imaging tools (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",1 month ago
Computational Biologists (m/f/d),Evotec SE,"Göttingen, Germany",4 months ago
Research Scientist (f/m/d) - Bioinformatics,Evotec SE,"Munich, Germany",11 months ago
Research Scientist (f/m/d) - Bioinformatics,Evotec SE,"Munich, Germany",9 months ago
"Group leader (advanced Postdoc level) in Neuroscience, and Lab-head…",Ulm University,"Ulm, Germany",2 months ago
Postdoctoral Researcher (f/m/x) Clinic and Polyclinic for Oral and…,University Hospital of Cologne,"Köln, Germany",1 month ago
Scientist for ultrafast pump-probe experiments,German Electron Synchrotron (DESY),"Hamburg, Germany",1 month ago
Polymer Scientist (m/f/div) for Materials Central Scientific Facility,Max Planck Institute for Intelligent Systems (MPIIS),"Stuttgart, Germany",3 months ago
Full Professorship (W3) of Systematic Zoology (Chair),"Ludwig-Maximilians-Universität München, Faculty of Biology","Munich, Germany",2 weeks ago
"Master thesis on the topic of ""Determination of surface recombination…",Jülich Research Centre (FZJ),"Jülich, Germany",1 week ago
Post-doctorate for the Low-Level RF Controls of the particle…,German Electron Synchrotron (DESY),"Hamburg, Germany",7 months ago
Outreach Manager (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",3 months ago
64214: Computer Scientist or similar (f/m/x) - Development of secure…,German Aerospace Center (DLR),"Jena, Germany",1 month ago
"64884: Software Engineer, Data Scientist, Computer Scientist or…",German Aerospace Center (DLR),"Jena, Germany",1 month ago
Bachelor/Master Student,Jülich Research Centre (FZJ),"Aachen, Germany",6 months ago
PhD Student Position to study Microtubule Nanomechanics,Max Planck Institute for Multidisciplinary Sciences,"Göttingen, Germany",2 days ago
Department Director,Max Planck Institute for Biology Tübingen,"Tübingen, Germany",2 months ago
PhD candidate in Bioinformatics for “Multi-modal single cell analysis…,Helmholtz Munich,"München, Germany",3 months ago
Postdoc in genomic surveillance of airborne pathogens (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",2 months ago
Postdoc - Coherent Control of Correlations in Spin Systems using…,Jülich Research Centre (FZJ),"Jülich, Germany",6 months ago
9 Postdoc positions (m/f/d),Essen University Hospital,"Essen, Germany",4 weeks ago
Scientist for cross-platform software deployment,German Electron Synchrotron (DESY),"Hamburg, Germany",2 months ago
"Research assistant, PhD (m/f/d) in the field of chemistry, analytical…",Federal Institute for Materials Research and Testing (BAM),"Berlin, Germany",1 week ago
Principal Scientist (f/m/d) Ophthalmology,Evotec SE,"Hamburg, Germany",1 week ago
